Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
11/13/2013,13,November,2013,27,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,745,1252,1997
11/30/2015,30,November,2015,38,Adults (35-64),M,France,Moselle,Accessories,Tires and Tubes,LL Road Tire,19,8,21,199,152,351
12/30/2013,30,December,2013,25,Young Adults (25-34),F,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Blue",20,13,35,433,260,693
11/18/2015,18,November,2015,27,Young Adults (25-34),F,France,Loiret,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",10,38,50,65,380,445
2/21/2014,21,February,2014,33,Young Adults (25-34),M,United States,Oregon,Accessories,Tires and Tubes,HL Mountain Tire,11,13,35,188,143,331
12/1/2013,1,December,2013,44,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,18,1,2,18,18,36
8/2/2015,2,August,2015,48,Adults (35-64),F,United States,Washington,Clothing,Caps,AWC Logo Cap,23,7,9,0,161,161
6/24/2016,24,June,2016,31,Young Adults (25-34),M,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,14,2,5,27,28,55
12/15/2013,15,December,2013,43,Adults (35-64),M,United Kingdom,England,Accessories,Tires and Tubes,Touring Tire Tube,1,2,5,3,2,5
8/14/2013,14,August,2013,39,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,951,1252,2203
9/28/2015,28,September,2015,30,Young Adults (25-34),F,Australia,New South Wales,Accessories,Fenders,Fender Set - Mountain,16,8,22,178,128,306
6/7/2016,7,June,2016,43,Adults (35-64),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5,3,2,5
12/8/2015,8,December,2015,27,Young Adults (25-34),M,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Black",4,13,35,59,52,111
9/2/2013,2,September,2013,40,Adults (35-64),F,United Kingdom,England,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",4,38,50,40,152,192
1/3/2014,3,January,2014,41,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,ML Mountain Tire,22,11,30,405,242,647
9/7/2015,7,September,2015,47,Adults (35-64),F,United States,California,Accessories,Bottles and Cages,Mountain Bottle Cage,3,4,10,17,12,29
3/20/2016,20,March,2016,32,Young Adults (25-34),F,Australia,Victoria,Accessories,Tires and Tubes,Mountain Tire Tube,3,2,5,6,6,12
4/25/2014,25,April,2014,37,Adults (35-64),M,United States,California,Accessories,Cleaners,Bike Wash - Dissolver,30,3,8,145,90,235
10/10/2015,10,October,2015,38,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,961,1266,2227
6/16/2014,16,June,2014,26,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,9,2,5,27,18,45
6/27/2016,27,June,2016,45,Adults (35-64),M,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,9,1,2,5,9,14
3/10/2014,10,March,2014,18,Youth (<25),M,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,17,2,5,32,34,66
1/12/2014,12,January,2014,19,Youth (<25),M,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,14,2,5,41,28,69
3/26/2016,26,March,2016,32,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,28,1,2,27,28,55
2/22/2014,22,February,2014,37,Adults (35-64),M,United States,Oregon,Accessories,Tires and Tubes,Patch Kit/8 Patches,7,1,2,5,7,12
12/24/2013,24,December,2013,41,Adults (35-64),F,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Blue",29,13,35,415,377,792
11/18/2012,18,November,2012,49,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",2,1252,2295,1994,2504,4498
1/1/2016,1,January,2016,30,Young Adults (25-34),F,United Kingdom,England,Accessories,Tires and Tubes,Mountain Tire Tube,11,2,5,31,22,53
3/2/2014,2,March,2014,41,Adults (35-64),F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,218,135,353
7/15/2015,15,July,2015,41,Adults (35-64),F,United Kingdom,England,Accessories,Tires and Tubes,Road Tire Tube,10,1,4,28,10,38
2/10/2014,10,February,2014,34,Young Adults (25-34),F,Germany,Hessen,Accessories,Tires and Tubes,Touring Tire Tube,20,2,5,53,40,93
5/1/2014,1,May,2014,53,Adults (35-64),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,13,2,5,38,26,64
11/5/2015,5,November,2015,27,Young Adults (25-34),M,United Kingdom,England,Clothing,Socks,"Racing Socks, L",17,3,9,96,51,147
8/27/2015,27,August,2015,34,Young Adults (25-34),F,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Black",16,13,35,330,208,538
3/10/2014,10,March,2014,48,Adults (35-64),M,Canada,British Columbia,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",21,38,50,242,798,1040
12/8/2015,8,December,2015,22,Youth (<25),F,Australia,South Australia,Bikes,Touring Bikes,"Touring-2000 Blue, 60",1,755,1215,241,755,996
5/21/2014,21,May,2014,37,Adults (35-64),M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Black",3,13,35,64,39,103
7/6/2014,6,July,2014,38,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,ML Road Tire,21,9,25,331,189,520
2/15/2016,15,February,2016,37,Adults (35-64),F,Australia,New South Wales,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",18,38,50,99,684,783
4/3/2014,3,April,2014,43,Adults (35-64),M,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,4,2,5,8,8,16
11/10/2015,10,November,2015,39,Adults (35-64),M,Australia,New South Wales,Bikes,Touring Bikes,"Touring-1000 Yellow, 60",1,1482,2384,592,1482,2074
8/13/2015,13,August,2015,27,Young Adults (25-34),M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",3,13,35,64,39,103
7/10/2016,10,July,2016,34,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,20,1,2,20,20,40
4/2/2014,2,April,2014,51,Adults (35-64),M,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,7,2,5,13,14,27
2/15/2016,15,February,2016,18,Youth (<25),M,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Black",6,13,35,105,78,183
3/23/2014,23,March,2014,31,Young Adults (25-34),M,France,Moselle,Accessories,Helmets,"Sport-100 Helmet, Red",3,13,35,53,39,92
9/13/2015,13,September,2015,48,Adults (35-64),M,Australia,Victoria,Accessories,Tires and Tubes,Patch Kit/8 Patches,31,1,2,18,31,49
11/14/2013,14,November,2013,51,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-100 Black, 42",1,1898,3375,1038,1898,2936
12/14/2011,14,December,2011,37,Adults (35-64),M,Germany,Saarland,Bikes,Road Bikes,"Road-550-W Yellow, 38",1,713,1120,205,713,918
2/28/2016,28,February,2016,29,Young Adults (25-34),M,Australia,South Australia,Accessories,Tires and Tubes,HL Road Tire,13,12,33,196,156,352
1/18/2014,18,January,2014,34,Young Adults (25-34),F,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,28,2,5,53,56,109
8/3/2015,3,August,2015,24,Youth (<25),M,United States,California,Accessories,Tires and Tubes,HL Mountain Tire,1,13,35,21,13,34
6/24/2014,24,June,2014,44,Adults (35-64),F,United Kingdom,England,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",6,38,50,60,228,288
4/25/2014,25,April,2014,32,Young Adults (25-34),M,France,Seine (Paris),Accessories,Tires and Tubes,Touring Tire Tube,25,2,5,53,50,103
6/26/2014,26,June,2014,51,Adults (35-64),M,Australia,Queensland,Accessories,Bottles and Cages,Water Bottle - 30 oz.,10,2,5,22,20,42
12/29/2015,29,December,2015,30,Young Adults (25-34),M,Germany,Bayern,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,1031,1266,2297
10/15/2015,15,October,2015,30,Young Adults (25-34),F,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",24,38,50,264,912,1176
2/2/2014,2,February,2014,34,Young Adults (25-34),F,United States,California,Accessories,Tires and Tubes,ML Mountain Tire,9,11,30,166,99,265
7/15/2011,15,July,2011,23,Youth (<25),M,United States,Washington,Bikes,Road Bikes,"Road-750 Black, 52",3,344,540,232,1032,1264
7/14/2014,14,July,2014,39,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,16,1,2,15,16,31
4/11/2015,11,April,2015,25,Young Adults (25-34),M,Germany,Hamburg,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,892,1266,2158
12/11/2013,11,December,2013,24,Youth (<25),M,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Blue",26,13,35,454,338,792
8/29/2013,29,August,2013,17,Youth (<25),F,Australia,Victoria,Accessories,Tires and Tubes,HL Road Tire,29,12,33,408,348,756
9/7/2013,7,September,2013,47,Adults (35-64),F,United States,California,Accessories,Bottles and Cages,Mountain Bottle Cage,4,4,10,23,16,39
4/29/2014,29,April,2014,29,Young Adults (25-34),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,3,1,2,3,3,6
1/31/2014,31,January,2014,21,Youth (<25),M,Australia,Victoria,Accessories,Fenders,Fender Set - Mountain,2,8,22,19,16,35
2/25/2014,25,February,2014,25,Young Adults (25-34),M,United States,Oregon,Accessories,Bottles and Cages,Water Bottle - 30 oz.,18,2,5,41,36,77
10/6/2015,6,October,2015,24,Youth (<25),M,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Blue",1,13,35,17,13,30
6/25/2016,25,June,2016,28,Young Adults (25-34),M,Australia,Tasmania,Accessories,Tires and Tubes,HL Road Tire,20,12,33,295,240,535
1/19/2012,19,January,2012,35,Adults (35-64),F,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 56",2,2171,3578,1240,4342,5582
12/28/2013,28,December,2013,43,Adults (35-64),F,Germany,Hamburg,Accessories,Helmets,"Sport-100 Helmet, Red",23,13,35,450,299,749
11/6/2015,6,November,2015,38,Adults (35-64),M,United States,Washington,Clothing,Shorts,"Women's Mountain Shorts, S",1,26,70,29,26,55
6/24/2014,24,June,2014,35,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,23,2,5,67,46,113
8/16/2015,16,August,2015,33,Young Adults (25-34),M,United States,Washington,Clothing,Gloves,"Half-Finger Gloves, S",19,9,24,185,171,356
12/8/2013,8,December,2013,18,Youth (<25),M,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 52",1,2171,3578,656,2171,2827
2/9/2016,9,February,2016,29,Young Adults (25-34),F,France,Seine (Paris),Accessories,Helmets,"Sport-100 Helmet, Blue",11,13,35,173,143,316
8/9/2015,9,August,2015,32,Young Adults (25-34),F,Australia,New South Wales,Accessories,Tires and Tubes,ML Mountain Tire,14,11,30,211,154,365
7/21/2014,21,July,2014,36,Adults (35-64),F,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,28,1,2,26,28,54
5/3/2016,3,May,2016,35,Adults (35-64),F,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Blue",15,13,35,309,195,504
10/20/2013,20,October,2013,33,Young Adults (25-34),F,United Kingdom,England,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",17,38,50,170,646,816
4/2/2016,2,April,2016,35,Adults (35-64),M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Black",11,13,35,234,143,377
1/9/2014,9,January,2014,62,Adults (35-64),F,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,729,1266,1995
3/20/2016,20,March,2016,32,Young Adults (25-34),M,United States,Washington,Clothing,Gloves,"Half-Finger Gloves, L",24,9,24,233,216,449
12/2/2015,2,December,2015,25,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",3,1266,2320,3023,3798,6821
5/4/2014,4,May,2014,53,Adults (35-64),M,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Red",26,13,35,563,338,901
7/15/2016,15,July,2016,26,Young Adults (25-34),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,1,2,5,3,2,5
1/31/2016,31,January,2016,36,Adults (35-64),F,Germany,Hamburg,Accessories,Tires and Tubes,Patch Kit/8 Patches,17,1,2,15,17,32
4/19/2016,19,April,2016,26,Young Adults (25-34),M,Germany,Saarland,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",3,1266,2320,1909,3798,5707
12/19/2013,19,December,2013,37,Adults (35-64),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Red",16,13,35,341,208,549
9/14/2013,14,September,2013,35,Adults (35-64),M,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,544,1266,1810
12/11/2013,11,December,2013,34,Young Adults (25-34),M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",12,13,35,256,156,412
9/12/2015,12,September,2015,43,Adults (35-64),M,Australia,Victoria,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",22,38,50,33,836,869
4/30/2014,30,April,2014,65,Seniors (64+),M,United States,California,Accessories,Bottles and Cages,Mountain Bottle Cage,26,4,10,151,104,255
9/2/2015,2,September,2015,33,Young Adults (25-34),M,Australia,Queensland,Accessories,Tires and Tubes,Patch Kit/8 Patches,28,1,2,19,28,47
11/4/2013,4,November,2013,21,Youth (<25),M,Germany,Nordrhein-Westfalen,Accessories,Tires and Tubes,HL Road Tire,12,12,33,201,144,345
9/10/2015,10,September,2015,23,Youth (<25),F,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Red",24,13,35,419,312,731
4/17/2016,17,April,2016,54,Adults (35-64),F,Germany,Nordrhein-Westfalen,Accessories,Tires and Tubes,Patch Kit/8 Patches,1,1,2,1,1,2
6/11/2014,11,June,2014,52,Adults (35-64),F,France,Essonne,Accessories,Bottles and Cages,Mountain Bottle Cage,2,4,10,11,8,19
6/11/2015,11,June,2015,49,Adults (35-64),M,Australia,Victoria,Bikes,Road Bikes,"Road-750 Black, 58",1,344,540,83,344,427
7/11/2016,11,July,2016,32,Young Adults (25-34),F,Germany,Hessen,Accessories,Helmets,"Sport-100 Helmet, Red",18,13,35,352,234,586
12/16/2013,16,December,2013,27,Young Adults (25-34),M,France,Seine (Paris),Accessories,Tires and Tubes,Patch Kit/8 Patches,28,1,2,18,28,46
11/29/2013,29,November,2013,18,Youth (<25),M,Australia,Queensland,Accessories,Tires and Tubes,Patch Kit/8 Patches,12,1,2,8,12,20
11/10/2015,10,November,2015,60,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",3,1266,2320,3023,3798,6821
10/13/2013,13,October,2013,65,Seniors (64+),M,Canada,British Columbia,Accessories,Tires and Tubes,Touring Tire,13,11,29,230,143,373
12/24/2012,24,December,2012,27,Young Adults (25-34),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",2,713,1120,769,1426,2195
10/29/2013,29,October,2013,26,Young Adults (25-34),F,United States,Washington,Accessories,Tires and Tubes,Touring Tire,3,11,29,35,33,68
7/14/2016,14,July,2016,51,Adults (35-64),F,United States,Oregon,Accessories,Hydration Packs,Hydration Pack - 70 oz.,8,21,55,210,168,378
5/30/2014,30,May,2014,25,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,24,2,5,71,48,119
9/21/2013,21,September,2013,33,Young Adults (25-34),M,United States,Oregon,Accessories,Helmets,"Sport-100 Helmet, Blue",2,13,35,34,26,60
2/27/2016,27,February,2016,32,Young Adults (25-34),F,Australia,New South Wales,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",24,42,54,120,1008,1128
11/30/2015,30,November,2015,24,Youth (<25),M,France,Seine Saint Denis,Clothing,Shorts,"Women's Mountain Shorts, M",9,26,70,283,234,517
8/8/2013,8,August,2013,34,Young Adults (25-34),M,France,Nord,Accessories,Tires and Tubes,Patch Kit/8 Patches,5,1,2,4,5,9
11/17/2015,17,November,2015,53,Adults (35-64),F,Australia,Queensland,Accessories,Tires and Tubes,Patch Kit/8 Patches,32,1,2,22,32,54
3/10/2014,10,March,2014,68,Seniors (64+),F,France,Moselle,Accessories,Tires and Tubes,Road Tire Tube,4,1,4,10,4,14
11/12/2015,12,November,2015,18,Youth (<25),M,Canada,British Columbia,Accessories,Hydration Packs,Hydration Pack - 70 oz.,3,21,55,100,63,163
10/5/2015,5,October,2015,38,Adults (35-64),M,United States,California,Clothing,Vests,"Classic Vest, S",19,24,64,736,456,1192
4/8/2014,8,April,2014,28,Young Adults (25-34),M,United States,California,Accessories,Bottles and Cages,Mountain Bottle Cage,28,4,10,162,112,274
11/10/2013,10,November,2013,30,Young Adults (25-34),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",1,420,769,318,420,738
10/3/2015,3,October,2015,18,Youth (<25),M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",27,13,35,575,351,926
12/22/2015,22,December,2015,21,Youth (<25),M,Germany,Nordrhein-Westfalen,Accessories,Cleaners,Bike Wash - Dissolver,17,3,8,67,51,118
10/13/2015,13,October,2015,57,Adults (35-64),M,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",3,1266,2320,1631,3798,5429
12/7/2015,7,December,2015,46,Adults (35-64),M,United States,Washington,Accessories,Tires and Tubes,HL Road Tire,1,12,33,14,12,26
5/15/2016,15,May,2016,36,Adults (35-64),M,United States,Washington,Clothing,Gloves,"Half-Finger Gloves, S",6,9,24,58,54,112
2/23/2014,23,February,2014,20,Youth (<25),F,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Red",12,13,35,247,156,403
3/5/2016,5,March,2016,20,Youth (<25),F,United Kingdom,England,Accessories,Tires and Tubes,Road Tire Tube,29,1,4,82,29,111
12/12/2013,12,December,2013,18,Youth (<25),M,Australia,New South Wales,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,942,2171,3113
11/29/2015,29,November,2015,44,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,9,1,2,9,9,18
6/4/2014,4,June,2014,56,Adults (35-64),M,France,Seine (Paris),Accessories,Cleaners,Bike Wash - Dissolver,1,3,8,4,3,7
2/26/2014,26,February,2014,43,Adults (35-64),M,United Kingdom,England,Bikes,Touring Bikes,"Touring-1000 Blue, 50",1,1482,2384,807,1482,2289
5/6/2014,6,May,2014,46,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 40",1,420,769,334,420,754
4/30/2014,30,April,2014,40,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,ML Mountain Tire,9,11,30,168,99,267
3/9/2016,9,March,2016,30,Young Adults (25-34),M,Australia,New South Wales,Accessories,Tires and Tubes,Road Tire Tube,19,1,4,47,19,66
3/26/2016,26,March,2016,58,Adults (35-64),F,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,27,2,5,51,54,105
5/8/2016,8,May,2016,31,Young Adults (25-34),M,Germany,Hessen,Accessories,Tires and Tubes,Patch Kit/8 Patches,5,1,2,4,5,9
1/29/2016,29,January,2016,42,Adults (35-64),M,United Kingdom,England,Clothing,Caps,AWC Logo Cap,13,7,9,21,91,112
8/21/2015,21,August,2015,44,Adults (35-64),F,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,22,2,5,64,44,108
4/23/2011,23,April,2011,23,Youth (<25),F,France,Moselle,Bikes,Road Bikes,"Road-750 Black, 58",2,344,540,262,688,950
2/18/2014,18,February,2014,52,Adults (35-64),F,United Kingdom,England,Clothing,Caps,AWC Logo Cap,18,7,9,30,126,156
8/26/2015,26,August,2015,30,Young Adults (25-34),F,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578,1264,2171,3435
3/4/2012,4,March,2012,37,Adults (35-64),F,France,Essonne,Bikes,Road Bikes,"Road-150 Red, 48",2,2171,3578,2528,4342,6870
11/19/2015,19,November,2015,31,Young Adults (25-34),F,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,20,2,5,59,40,99
10/26/2013,26,October,2013,32,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Road Tire Tube,30,1,4,88,30,118
9/20/2013,20,September,2013,21,Youth (<25),M,United States,Washington,Clothing,Socks,"Racing Socks, L",20,3,9,80,60,140
10/9/2013,9,October,2013,36,Adults (35-64),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,14,1,2,13,14,27
11/10/2013,10,November,2013,60,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,1008,1266,2274
9/18/2015,18,September,2015,27,Young Adults (25-34),M,Australia,Queensland,Clothing,Gloves,"Half-Finger Gloves, L",15,9,24,167,135,302
2/22/2014,22,February,2014,53,Adults (35-64),F,Germany,Hamburg,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",21,42,54,173,882,1055
7/7/2015,7,July,2015,30,Young Adults (25-34),M,Germany,Hessen,Accessories,Helmets,"Sport-100 Helmet, Blue",25,13,35,489,325,814
12/11/2015,11,December,2015,19,Youth (<25),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",22,42,54,3,924,927
7/5/2015,5,July,2015,43,Adults (35-64),M,Australia,Queensland,Clothing,Gloves,"Half-Finger Gloves, L",1,9,24,11,9,20
11/20/2015,20,November,2015,19,Youth (<25),M,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,25,1,2,25,25,50
1/13/2016,13,January,2016,28,Young Adults (25-34),M,United States,California,Accessories,Fenders,Fender Set - Mountain,6,8,22,81,48,129
4/10/2015,10,April,2015,21,Youth (<25),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 48",1,1898,3375,768,1898,2666
11/26/2013,26,November,2013,34,Young Adults (25-34),F,United States,California,Bikes,Road Bikes,"Road-250 Black, 52",1,1555,2443,839,1555,2394
4/25/2014,25,April,2014,17,Youth (<25),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,567,1266,1833
1/11/2016,11,January,2016,35,Adults (35-64),F,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,19,1,2,17,19,36
10/22/2013,22,October,2013,50,Adults (35-64),M,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Blue",19,13,35,391,247,638
4/9/2014,9,April,2014,30,Young Adults (25-34),M,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5,8,6,14
5/2/2014,2,May,2014,50,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Touring Tire Tube,12,2,5,35,24,59
1/9/2012,9,January,2012,17,Youth (<25),F,Canada,British Columbia,Bikes,Road Bikes,"Road-350-W Yellow, 42",2,1083,1701,1202,2166,3368
11/24/2013,24,November,2013,29,Young Adults (25-34),F,Canada,British Columbia,Accessories,Tires and Tubes,LL Mountain Tire,8,9,25,126,72,198
2/6/2015,6,February,2015,34,Young Adults (25-34),F,France,Yveline,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",2,1266,2320,994,2532,3526
9/10/2012,10,September,2012,35,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 44",2,344,540,349,688,1037
